RefSeqID	Symbol	NbOfExons	8N	8T	33N	33T	51N	51T
NM_001896	CSNK2A2	12	179	178	151	315	320	287
NM_001126061	DMKN	14	285	317	282	386	490	438
NM_001008565	NUPL1	14	189	239	290	192	554	496
NM_022786	ARV1	6	109	112	194	128	246	220
NM_014905	GLS	18	487	916	556	772	1517	1356
NM_001135256	RBBP4	12	510	768	475	337	910	817
NM_014764	DAZAP2	4	371	86	408	621	870	781
NM_183412	FBXO44	5	124	318	131	118	253	227
NM_016839	RBMS1	16	95	122	138	100	301	269
NM_020320	RARS2	20	190	138	297	573	600	539
NM_001128206	SULF1	22	406	413	444	1573	3104	2043
NM_001086521	C17orf89	3	51	52	52	79	184	120
NM_020856	TSHZ3	2	91	93	57	144	500	258
NM_019605	SERTAD4	4	50	51	157	93	95	87
NM_018639	WSB2	9	519	529	443	712	2069	1201
NM_001135055	TKT	15	1501	1530	967	2488	1436	946
NM_033540	MFN1	18	290	295	465	528	632	1020
NM_001130006	GSPT1	15	1152	1175	1229	1559	2536	2341
NM_014026	DCPS	6	91	93	93	98	154	144
NM_004891	MRPL33	4	59	60	78	86	153	148
NM_004869	VPS4B	11	1238	1260	1447	1537	1818	1677
NM_001039479	KIAA0317	20	565	575	517	1204	1509	1332
NM_145730	AP1B1	22	1709	1749	1312	2489	2792	1778
NM_001127	AP1B1	23	1709	1749	1312	2489	2792	1778
NM_001001330	REEP3	8	259	264	323	264	852	1665
NM_001065	TNFRSF1A	10	1040	1059	687	830	2283	2229
NM_004783	TAOK2	19	573	584	498	969	1988	1202
NM_002070	GNAI2	9	1313	1335	1094	2081	6361	2610
NM_017490	MARK2	19	609	619	479	583	966	1032
NM_004493	HSD17B10	6	262	267	218	552	433	362
NM_194456	KRIT1	20	306	313	534	762	676	830
NM_005726	TSFM	6	112	114	152	470	442	257
NM_024629	MLF1IP	13	174	178	189	196	159	316
NM_001127192	CNBP	5	987	1010	1223	1186	3475	3507
NM_001127193	CNBP	5	987	1010	1223	1185	3473	3507
NM_003418	CNBP	5	987	1010	1222	1180	3460	3504
NM_004766	COPB2	22	982	999	1226	1126	2110	4210
NM_014779	TSC22D2	4	651	662	648	715	1137	1636
NM_004555	NFATC3	11	493	503	475	730	1145	786
NM_175085	GART	11	331	337	382	400	598	644
NM_032019	HDAC10	20	147	150	218	358	517	314
NM_015168	ZC3H4	15	567	580	577	1091	1273	1123
NM_001009941	ANKRD16	7	53	54	76	76	106	102
NM_004448	ERBB2	27	1855	1907	1536	4075	2062	1741
NM_015999	ADIPOR1	8	440	451	579	854	1268	1398
NM_001098534	BAT3	25	1083	1114	1227	1878	2608	1618
NM_139235	NOL6	16	765	788	539	1144	1435	880
NM_181357	WDR23	15	440	451	392	903	1088	707
NM_004300	ACP1	6	117	120	152	221	283	314
NM_004404	SEPT2	13	1536	1575	1775	2174	4742	5217
NM_001008492	SEPT2	14	1536	1575	1776	2174	4745	5217
NM_006155	SEPT2	13	1537	1584	1789	2176	4733	5225
NM_001008491	SEPT2	14	1545	1589	1800	2181	4740	5232
NM_014955	KIAA0859	8	233	239	198	290	599	545
NM_006825	CKAP4	2	1422	1465	1334	2933	4433	3980
NM_202467	GIPC1	8	1019	1049	1020	846	1516	1483
NM_001090	ABCF1	24	814	837	721	1272	1915	1619
NM_023076	UNKL	6	207	212	226	670	807	331
NM_007324	ZFYVE9	18	265	272	447	351	719	725
NM_031215	CABLES2	10	70	72	82	119	101	113
NM_173165	NFATC3	10	489	503	473	730	1144	785
NM_173163	NFATC3	11	489	503	475	731	1150	792
NM_004566	PFKFB3	15	1177	1211	361	1326	4382	1422
NM_014815	MED24	26	525	540	530	2187	1330	1037
NM_014860	SUPT7L	6	287	295	297	517	972	835
NM_018150	RNF220	15	244	251	278	656	801	498
NM_003276	TMPO	4	341	351	278	707	555	383
NM_139266	STAT1	23	767	412	860	1292	1425	2329
NM_015516	TSKU	2	936	842	619	930	1345	1996
NM_006938	SNRPD1	4	137	195	186	279	227	174
NM_178842	LASS3	13	814	596	778	1163	817	1843
NM_018941	CLN8	3	362	429	354	530	926	463
NM_006659	TUBGCP2	18	388	562	524	788	1113	846
NM_022451	NOC3L	21	318	166	461	692	519	572
NM_015905	TRIM24	19	163	189	228	343	394	280
NM_018223	CHFR	18	287	418	293	438	1107	702
NM_003883	HDAC3	15	343	647	361	540	765	485
NM_181698	CCNY	12	478	568	534	802	1441	834
NM_015935	KIAA0859	8	257	265	218	326	689	609
NM_002359	MAFG	3	356	971	352	527	1096	729
NM_001080157	ARHGAP9	16	41	53	57	86	397	103
NM_024109	C16orf68	11	99	132	170	255	350	201
NM_206889	DIP2A	22	463	598	494	741	1230	796
NM_001040647	RCP9	5	338	339	357	537	791	879
NM_012170	FBXO22	6	87	53	122	183	256	232
NM_198337	INSIG1	4	116	216	240	359	446	152
NM_015416	LETMD1	9	176	76	261	391	529	487
NM_206999	CNOT1	31	2345	2318	2687	4038	3802	3537
NM_018026	PACS1	24	804	991	554	832	1829	1373
NM_024816	RABEP2	13	176	184	215	322	520	311
NM_182565	FAM100B	4	292	426	205	307	613	505
NM_024165	PHF1	15	232	252	293	438	748	429
NM_001098785	FAM89B	2	199	257	183	274	764	466
NM_024625	ZC3HAV1	9	418	270	387	582	836	1094
NM_001005366	FBXL10	23	312	338	356	533	769	417
NM_004350	RUNX3	5	148	431	119	179	537	397
NM_001042537	SLC9A6	16	220	188	319	478	481	469
NM_016230	CYB5R4	16	52	88	107	161	241	156
NM_001042405	CEP170	19	68	102	71	107	345	192
NM_012479	YWHAG	2	2607	2181	2392	3572	6181	6891
NM_003791	MBTPS1	23	748	849	837	1255	2272	1846
NM_182958	MYST1	10	127	144	195	293	238	183
NM_033402	LRRCC1	19	83	12	150	225	120	332
NM_004561	OVOL1	4	774	826	549	646	509	461
NM_005231	CTTN	18	1505	18282	1590	1531	3301	2970
NM_001134647	AFAP1	18	281	316	369	429	968	871
NM_052861	C4orf42	1	58	21	93	146	271	245
NM_001136024	NHS	9	210	294	279	396	342	308
NM_014763	MRPL19	6	543	538	631	1081	1122	1016
NR_000006	SNORD21	1	2599	2834	9312	6923	4995	4496
NM_018955	UBB	2	62	84	139	131	197	178
NM_018352	C4orf43	7	118	203	224	198	237	214
NM_001131036	ZCCHC9	6	86	92	126	101	139	125
NR_003125	LOC85391	1	784	1493	9747	7990	3215	2894
NM_001083112	GPD2	17	801	844	707	990	1128	1017
NM_001136195	TNPO2	26	1164	1102	1074	2068	2692	2426
NM_020401	NUP107	28	272	430	380	506	585	528
NM_006582	GMEB1	10	72	72	86	153	189	171
NM_015375	RIPK5	13	449	480	498	440	1151	1042
NM_144982	ZFC3H1	35	924	984	1343	1263	1743	1573
NM_015650	TRAF3IP1	17	64	113	123	168	243	219
NM_002453	MTIF2	16	192	171	231	418	385	348
NM_001033521	CSTF1	6	174	45	190	370	359	325
NM_017929	PEX26	6	417	373	293	926	797	720
NM_000097	CPOX	7	219	445	345	423	597	540
NM_015386	COG4	19	528	638	565	797	1324	1196
NM_001033522	CSTF1	6	170	45	187	372	364	329
NM_001001349	NKIRAS2	4	265	281	267	303	659	594
NM_016417	GLRX5	2	174	372	281	323	439	396
NM_139279	MCFD2	4	408	364	251	516	1131	1024
NM_018287	ARHGAP12	20	365	384	641	611	883	795
NM_144978	CCDC138	15	26	82	110	97	92	83
NM_006924	SFRS1	4	2035	2407	2317	2614	4370	3947
NM_001078166	SFRS1	3	2048	2419	2342	2649	4411	3981
NM_006268	DPF2	11	242	395	205	267	612	551
NM_001114	ADCY7	25	512	548	694	807	2009	1818
NM_002897	RBMS1	14	90	111	131	92	287	259
NM_016836	RBMS1	14	90	111	131	92	287	259
NM_032364	DNAJC14	7	248	198	172	474	790	712
NM_206914	FAM119B	4	61	55	56	127	259	234
NM_005360	MAF	2	924	1113	731	954	2506	2260
NM_005610	RBBP4	12	510	771	476	337	912	821
NM_001135255	RBBP4	12	510	771	476	336	912	821
NM_001136266	DAZAP2	4	371	79	407	615	862	778
NM_006801	KDELR1	5	523	685	565	841	1254	1132
NM_023922	TAS2R14	1	37	66	85	90	94	85
NM_020357	PCNP	5	261	480	656	571	881	794
NM_001039574	KCNC4	4	99	88	117	227	397	359
NM_144506	KLK8	4	182	188	269	274	370	384
NM_001031672	LOC606495	8	54	56	51	114	121	53
NM_014239	EIF2B2	8	121	125	173	418	417	330
NM_000917	P4HA1	15	183	189	202	360	996	647
NM_172165	MSH5	25	116	120	214	496	390	252
NM_172166	MSH5	25	116	120	214	496	390	252
NM_002094	GSPT1	15	1161	1197	1236	1584	2544	2391
NM_025259	MSH5	25	116	120	228	515	405	264
NM_003917	AP1G2	22	462	479	657	1005	914	751
NM_003900	SQSTM1	8	2048	2120	2018	3701	8777	3750
NM_004446	EPRS	32	949	980	1008	1504	1958	2218
NM_001136199	GRAMD1A	18	358	369	261	562	2828	661
NM_020895	GRAMD1A	20	358	369	261	562	2828	661
NM_182515	ZNF714	5	81	84	112	127	211	199
NM_022739	SMURF2	19	175	181	232	171	698	707
NM_133264	WIPF2	8	578	598	511	1791	1240	1121
NM_022893	BCL11A	4	306	316	488	711	278	1029
NM_001518	GTF2I	33	198	205	295	363	334	450
NM_001136115	FBXO28	4	451	465	507	682	900	1104
NM_015176	FBXO28	5	457	473	528	694	930	1136
NM_012322	LSM5	5	96	99	197	275	136	258
NM_178587	PPP2R5C	12	161	167	276	264	465	520
NM_032999	GTF2I	35	207	214	316	375	357	481
NM_001040876	ABCE1	18	386	399	372	524	518	745
NM_002940	ABCE1	18	387	399	373	525	522	747
NM_139179	DAGLB	15	187	193	271	491	546	351
NM_007008	RTN4	7	1221	1261	2050	1706	3910	4442
NM_032287	LDOC1L	2	355	366	230	473	1077	844
NM_213654	ARMC8	13	203	210	381	319	407	513
NM_014154	ARMC8	13	202	209	377	316	404	508
NM_198044	ZDHHC16	10	135	140	148	309	424	352
NM_001098633	AKT1S1	5	214	221	141	243	720	446
NM_001006635	MTX2	11	121	125	272	229	282	328
NM_014713	LAPTM4A	7	905	937	1085	1404	2349	2721
NM_004781	VAMP3	5	507	524	597	981	1504	1252
NM_015374	UNC84B	18	1360	1410	919	1721	4024	1888
NM_018425	PI4K2A	9	386	400	341	755	1232	1079
NM_018638	ETNK1	8	783	812	1214	865	1657	1727
NM_001033026	C19orf6	11	749	777	921	1541	1859	787
NM_005642	TAF7	1	706	731	587	1036	1326	1076
